1;1/1/2004;Parking;Alquiler;Lleida;291;2133903;19/6/2004;Carmen
2;1/1/2004;Local;Venta;Girona;199;1945424;19/4/2004;Pedro
3;1/1/2004;Oficina;Alquiler;Girona;82;712416;8/11/2004;Joaquín
4;2/1/2004;Parking;Alquiler;Girona;285;1815450;27/4/2004;Jesús
5;2/1/2004;Suelo;Venta;Tarragona;152;1138024;10/7/2004;María
6;3/1/2004;Industrial;Alquiler;Girona;131;953156;5/9/2004;Pedro
7;3/1/2004;Parking;Alquiler;Tarragona;69;406686;7/6/2004;Pedro
8;3/1/2004;Oficina;Venta;Girona;235;2158475;31/10/2004;Jesús
9;4/1/2004;Piso;Alquiler;Lleida;108;1024380;28/12/2004;Jesús
10;4/1/2004;Parking;Venta;Lleida;299;2042768;6/10/2004;Joaquín
11;4/1/2004;Oficina;Alquiler;Girona;124;627068;28/10/2004;Pedro
12;4/1/2004;Industrial;Venta;Girona;187;999328;5/4/2004;Carmen
13;4/1/2004;Parking;Venta;Barcelona;300;2937300;4/11/2004;Jesús
14;4/1/2004;Local;Venta;Tarragona;68;664700;1/10/2004;Carmen
15;4/1/2004;Industrial;Alquiler;Girona;176;820336;29/11/2004;Pedro
16;5/1/2004;Casa;Alquiler;Girona;179;937960;21/11/2004;Carmen
17;5/1/2004;Casa;Alquiler;Tarragona;58;358846;8/10/2004;Luisa
18;6/1/2004;Suelo;Venta;Barcelona;283;1679605;6/6/2004;Carmen
19;7/1/2004;Piso;Alquiler;Girona;55;472615;9/4/2004;Luisa
20;8/1/2004;Oficina;Alquiler;Barcelona;148;1169496;19/8/2004;María
21;9/1/2004;Industrial;Venta;Barcelona;228;2020992;12/6/2004;Carmen
22;9/1/2004;Oficina;Alquiler;Lleida;116;727552;14/4/2004;Pedro
23;10/1/2004;Casa;Alquiler;Girona;183;1438929;21/4/2004;Luisa
24;10/1/2004;Oficina;Alquiler;Tarragona;79;427390;1/12/2004;Joaquín
25;10/1/2004;Oficina;Alquiler;Barcelona;124;1170684;23/5/2004;Jesús
26;10/1/2004;Local;Alquiler;Tarragona;70;549780;22/6/2004;Jesús
27;11/1/2004;Local;Alquiler;Tarragona;70;659330;23/12/2004;Pedro
28;12/1/2004;Casa;Alquiler;Barcelona;187;1660560;16/6/2004;Joaquín
29;12/1/2004;Casa;Alquiler;Tarragona;91;753571;7/7/2004;Luisa
30;12/1/2004;Local;Alquiler;Tarragona;201;939072;4/8/2004;Carmen
31;13/1/2004;Industrial;Alquiler;Barcelona;142;1405374;24/9/2004;Jesús
32;13/1/2004;Casa;Alquiler;Girona;92;627348;12/4/2004;María
33;15/1/2004;Local;Alquiler;Barcelona;181;1504110;3/7/2004;María
34;15/1/2004;Casa;Venta;Barcelona;281;2483197;1/11/2004;María
35;15/1/2004;Industrial;Alquiler;Tarragona;257;1799771;31/12/2004;Luisa
36;16/1/2004;Industrial;Alquiler;Tarragona;140;1054340;2/12/2004;Luisa
37;16/1/2004;Local;Venta;Girona;229;1160572;9/7/2004;Pedro
38;17/1/2004;Suelo;Alquiler;Tarragona;300;1492800;8/12/2004;Joaquín
39;18/1/2004;Parking;Alquiler;Tarragona;215;1154980;14/1/2005;Joaquín
40;18/1/2004;Oficina;Venta;Girona;182;1057784;22/7/2004;Jesús
41;18/1/2004;Piso;Venta;Barcelona;230;1421860;23/9/2004;Jesús
42;19/1/2004;Oficina;Venta;Tarragona;168;1426992;20/11/2004;Jesús
43;19/1/2004;Oficina;Alquiler;Girona;74;579716;22/9/2004;María
44;19/1/2004;Casa;Venta;Girona;278;1537062;16/12/2004;María
45;20/1/2004;Oficina;Alquiler;Barcelona;287;2851058;2/1/2005;Joaquín
46;20/1/2004;Oficina;Alquiler;Lleida;224;1294048;29/10/2004;Carmen
47;20/1/2004;Piso;Alquiler;Barcelona;53;249418;11/8/2004;Luisa
48;20/1/2004;Industrial;Venta;Barcelona;284;1457488;6/7/2004;Jesús
49;20/1/2004;Local;Venta;Girona;40;321680;11/1/2005;Jesús
50;20/1/2004;Local;Alquiler;Tarragona;235;957625;13/11/2004;Carmen
51;20/1/2004;Industrial;Venta;Lleida;90;568620;14/12/2004;Joaquín
52;22/1/2004;Local;Alquiler;Lleida;206;1605564;26/9/2004;María
